V (V)	I (A)
0	7.8862e-15
0.1	1.2917e-12
0.2	3.30129e-14
0.3	1.3129e-12
0.4	3.78763e-14
0.5	6.3593e-14
0.6	5.71801e-14
0.7	7.44075e-13
0.8	1.247e-13
0.9	1.259e-12
1	9.09819e-14
1.1	2.18122e-13
1.2	1.41468e-13
1.3	1.2133e-12
1.4	1.1247e-12
1.5	2.45746e-13
1.6	1.1364e-12
1.7	1.99443e-13
1.8	2.55591e-13
1.9	9.97771e-13
2	1.0315e-12
2.1	4.72867e-13
2.2	9.60028e-13
2.3	5.39244e-13
2.4	8.59248e-13
2.5	7.2468e-13
2.6	7.55429e-13
2.7	5.76461e-13
2.8	5.14542e-13
2.9	7.2548e-13
3	1.5723e-12
3.1	6.75223e-13
3.2	6.75094e-13
3.3	6.1406e-12
3.4	3.3293e-12
3.5	2.3655e-12
3.6	1.8266e-12
3.7	4.3738e-12
3.8	5.6944e-12
3.9	2.4896e-12
4	2.4804e-12
4.1	1.9237e-12
4.2	4.18839e-13
4.3	1.6239e-12
4.4	1.6059e-12
4.5	6.27074e-10
4.6	3.6644e-09
4.7	1.2642e-09
4.8	8.8847e-08
4.9	9.99998e-05
5	9.99999e-05
5.1	9.99996e-05
4.9	9.99999e-05
4.8	9.99999e-05
4.7	9.99996e-05
4.6	9.99999e-05
4.5	9.99999e-05
4.4	9.99996e-05
4.3	9.99999e-05
4.2	9.99996e-05
4.1	9.99996e-05
4	9.99995e-05
3.9	9.99996e-05
3.8	9.99996e-05
3.7	9.99997e-05
3.6	9.99996e-05
3.5	9.99995e-05
3.4	9.99997e-05
3.3	9.99995e-05
3.2	9.99995e-05
3.1	9.99994e-05
3	9.99996e-05
2.9	9.99996e-05
2.8	9.99996e-05
2.7	9.99997e-05
2.6	9.99996e-05
2.5	9.99995e-05
2.4	9.99994e-05
2.3	9.41663e-05
2.2	8.56945e-05
2.1	7.50422e-05
2	6.6236e-05
1.9	5.72641e-05
1.8	4.99385e-05
1.7	4.39213e-05
1.6	3.82584e-05
1.5	3.38636e-05
1.4	2.94356e-05
1.3	2.6046e-05
1.2	2.25351e-05
1.1	1.92333e-05
1	1.64423e-05
0.9	1.39371e-05
0.8	1.14004e-05
0.7	8.8259e-06
0.6	1.31787e-07
0.5	9.59683e-08
0.4	6.44329e-08
0.3	3.94124e-08
0.2	1.9479e-08
0.1	6.8317e-09
5e-06	1.10296e-13
-0.1	4.6459e-09
-0.2	1.25148e-08
-0.3	3.27918e-08
-0.4	7.85005e-08
-0.5	1.65287e-07
-0.6	2.35566e-07
-0.7	3.57306e-07
-0.8	4.49287e-07
-0.9	5.70641e-07
-1	6.6177e-07
-1.1	9.33057e-07
-1.2	1.0161e-06
-1.3	1.3161e-06
-1.4	1.2876e-06
-1.5	1.5957e-06
-1.6	1.712e-06
-1.7	2.1486e-06
-1.8	2.3458e-06
-1.9	2.4905e-06
-2	2.81e-06
-2.1	3.1812e-06
-2.2	3.4068e-06
-2.3	3.5601e-06
-2.4	3.7506e-06
-2.5	3.8589e-06
-2.6	4.2656e-06
-2.7	4.2865e-06
-2.8	5.2016e-06
-2.9	5.6478e-06
-3	5.7739e-06
-3.1	6.0462e-06
-3.2	6.6191e-06
-3.3	7.1052e-06
-3.4	7.743e-06
-3.5	8.1207e-06
-3.6	8.5496e-06
-3.7	9.6711e-06
-3.8	1.06114e-05
-3.9	1.15914e-05
-4	1.22799e-05
-4	1.21912e-05
-3.9	1.0858e-05
-3.8	1.13164e-05
-3.7	1.04911e-05
-3.6	1.01299e-05
-3.5	9.1684e-06
-3.4	8.6776e-06
-3.3	7.9092e-06
-3.2	7.4742e-06
-3.1	7.0784e-06
-3	6.4432e-06
-2.9	5.8169e-06
-2.8	5.6543e-06
-2.7	1.03557e-11
-2.6	1.6809e-12
-2.5	8.58674e-13
-2.4	5.03988e-13
-2.3	1.77e-12
-2.2	3.1708e-13
-2.1	1.55338e-13
-2	1.5321e-12
-1.9	1.4061e-12
-1.8	1.2079e-12
-1.7	3.4142e-15
-1.6	1.4216e-12
-1.5	1.319e-12
-1.4	6.9474e-14
-1.3	1.39e-12
-1.2	1.2042e-12
-1.1	1.3816e-12
-1	1.1955e-12
-0.9	6.6851e-18
-0.8	1.3602e-12
-0.7	6.99293e-14
-0.6	1.2237e-12
-0.5	3.3307e-15
-0.4	1.70897e-14
-0.3	3.6083e-15
-0.2	5.19438e-14
-0.1	1.27724e-14
5e-06	1.2313e-12
0.1	5.27528e-14
0.2	4.81531e-14
0.3	1.84281e-13
0.4	1.229e-12
0.5	2.41585e-13
0.6	1.0931e-12
0.7	7.75547e-14
0.8	1.98499e-13
0.9	1.1458e-12
1	1.1038e-12
1.1	2.55859e-13
1.2	2.64277e-13
1.3	9.67462e-13
1.4	9.53671e-13
1.5	4.40226e-13
1.6	8.951e-12
1.7	4.50049e-13
1.8	4.11278e-13
1.9	7.40806e-13
2	1.73949e-11
2.1	4.04681e-11
2.2	2.30527e-11
2.3	2.25603e-11
2.4	2.9515e-12
2.5	3.0787e-11
2.6	2.67963e-11
2.7	5.14175e-11
2.8	8.91525e-11
2.9	3.0919e-10
3	1.19939e-10
3.1	7.00681e-11
3.2	1.47576e-10
3.3	9.99992e-05
3.4	9.99993e-05
3.5	9.99992e-05
3.6	9.99992e-05
